2016-4-17-16h23m18s
Name,Ticker,Bid,Ask,Prev Close,Open,Volume,Avg Vol (3 month),Avg Vol (10 day),Forward Annual Dividend Rate,Forward Annual Dividend Yield,Trailing Annual Dividend Yield,5 Year Average Dividend Yield,Payout Ratio,Dividend Date,Ex-Dividend Date,Beta,52-Week Change,S&P500 52-Week Change,52-Week High,52-Week Low,50-Day Moving Average,200-Day Moving Average,Shares Outstanding,Float,% Held by Insiders,% Held by Institutions,Shares Short,Short Ratio,Short % of Float,Market Cap,Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio,Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA,Fiscal Year Ends,Most Recent Quarter,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue,Revenue Per Share,Qtrly Revenue Growth,Gross Profit,EBITDA,Net Income Avl to Common,Diluted EPS,Qtrly Earnings Growth,Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Book Value Per Share,Operating Cash Flow,Levered Free Cash Flow,Last Split Factor,Last Split Date,Earnings Date
Methanex Corporation,MX.TO,41.95,42.05,43.10,42.38,"757,215","475,341","517,475",1.43,3.31%,3.40%,2.03%,48.95%,"Mar 31, 2016","Mar 15, 2016",2.15,-39.48%,-0.94%,74.43,31.63,43.60,45.43,89780000.0,88940000.0,1.57%,87.80%,780440.0,1.72,N/A,3770000000.0,5050000000.0,20.91,15.75,7.17,1.74,2.25,2.27,13.74,Dec 31,"Dec 31, 2015",9.01%,7.77%,2.33%,10.06%,2230000000.0,24.55,-34.00%,N/A,367700000.0,200620000.0,2.01,-93.00%,254930000.0,2.84,1540000000.0,78.02,1.77,19.18,296950000.0,-248050000.0,N/A,N/A,N/A
Bonavista Energy Corporation,BNP.TO,2.56,2.59,2.67,2.62,"466,557","1,278,080","769,700",0.12,4.49%,11.10%,8.78%,N/A,"Apr 15, 2016","Feb 25, 2016",3.13,-66.58%,-0.94%,9.26,0.94,2.69,2.38,214010000.0,191600000.0,N/A,N/A,3460000.0,2.08,N/A,569060000.0,1830000000.0,N/A,N/A,1.25,0.94,0.38,2.95,5.32,Dec 31,"Dec 31, 2015",-120.91%,-132.48%,-12.94%,-38.48%,621580000.0,2.85,-40.80%,N/A,344540000.0,-751540000.0,-3.45,N/A,102000.0,0.00,1270000000.0,81.75,0.82,7.05,406290000.0,292940000.0,2:1,"Jul 7, 2003",May 5 - May 9 (Est.)
Rubicon Minerals Corporation,RMX.TO,0.06,0.06,0.06,0.06,"2,120,023","2,027,100","2,044,910",N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.14,-95.59%,-0.94%,1.49,0.02,0.07,0.20,394930000.0,349720000.0,70.19%,38.80%,1340000.0,0.44,N/A,23700000.0,39730000.0,N/A,N/A,N/A,N/A,0.23,NaN,-0.71,Dec 31,"Sep 30, 2015",N/A,N/A,-7.66%,-16.77%,N/A,N/A,N/A,N/A,-55620000.0,-55540000.0,-0.14,N/A,52000000.0,0.13,68030000.0,70.94,2.73,0.24,-58540000.0,-231290000.0,N/A,N/A,N/A
Tahoe Resources Inc.,THO.TO,15.28,15.30,15.12,15.10,"1,610,038","1,729,910","2,772,280",0.31,2.06%,2.10%,N/A,N/A,"Apr 28, 2016","Mar 22, 2016",2.47,5.44%,-0.94%,18.65,9.45,13.68,12.07,296900000.0,220110000.0,15.14%,96.00%,5830000.0,4.29,N/A,4540000000.0,3420000000.0,62.96,26.84,5.08,7.99,1.93,7.95,21.90,Dec 31,"Sep 30, 2015",10.61%,20.72%,3.52%,3.44%,430230000.0,2.29,61.40%,N/A,156170000.0,45640000.0,0.24,-33.80%,110550000.0,0.49,53400000.0,3.00,1.40,7.85,130690000.0,48470000.0,N/A,N/A,N/A
Enerplus Corporation,ERF.TO,5.87,5.96,6.19,5.99,"1,571,181","1,558,030","1,524,940",0.12,1.94%,7.80%,8.74%,N/A,"Apr 15, 2016","Mar 29, 2016",3.28,-62.63%,-0.94%,16.09,2.68,4.96,5.33,206540000.0,205930000.0,N/A,N/A,7870000.0,4.72,0.62%,1220000000.0,2430000000.0,N/A,N/A,0.13,1.45,1.42,2.75,5.68,Dec 31,"Dec 31, 2015",-172.25%,-8.89%,-1.49%,-97.63%,884390000.0,4.29,-38.70%,N/A,428670000.0,-1520000000.0,-7.39,N/A,7500000.0,0.04,1220000000.0,136.31,0.88,4.35,465340000.0,10510000.0,5:4,"Jun 14, 2000",N/A
Paramount Resources Ltd.,POU.TO,6.73,6.84,7.07,6.78,"877,472","1,444,840","1,043,940",N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.91,-81.85%,-0.94%,38.08,2.86,7.43,7.89,106230000.0,52080000.0,N/A,N/A,6030000.0,3.45,N/A,717080000.0,2450000000.0,N/A,N/A,0.07,2.01,0.66,6.57,12.61,Dec 31,"Sep 30, 2015",-109.63%,-56.60%,-4.08%,-30.81%,372890000.0,3.54,33.50%,N/A,194420000.0,-408800000.0,-3.88,N/A,41620000.0,0.39,1780000000.0,155.14,0.54,10.78,108070000.0,-550270000.0,3:1,"Jun 2, 1997",N/A
Tricon Capital Group Inc.,TCN.TO,8.74,8.75,8.47,8.50,"413,163","312,814","327,550",0.26,3.07%,2.90%,3.64%,26.81%,"Apr 15, 2016","Mar 29, 2016",0.91,-25.17%,-0.94%,12.11,7.53,8.51,9.22,112070000.0,97670000.0,N/A,N/A,1620000.0,5.15,N/A,979470000.0,953210000.0,14.35,19.00,N/A,7.15,1.46,7.73,9.56,Dec 31,"Sep 30, 2015",45.74%,75.92%,8.01%,10.52%,123350000.0,1.34,-43.20%,N/A,99740000.0,56410000.0,0.61,-14.30%,40650000.0,0.39,83200000.0,13.39,4.49,5.81,-28080000.0,56170000.0,N/A,N/A,N/A
Westshore Terminals Investment Corporation,WTE.TO,17.74,17.95,17.97,17.97,"67,142","198,962","178,612",0.64,3.56%,5.50%,N/A,55.74%,"Apr 15, 2016","Mar 29, 2016",1.78,-44.55%,-0.94%,34.24,9.84,16.10,17.21,73870000.0,56690000.0,N/A,N/A,1140000.0,7.75,N/A,1320000000.0,1260000000.0,10.67,13.04,N/A,4.02,2.60,3.82,7.14,Dec 31,"Sep 30, 2015",37.65%,50.31%,15.36%,24.51%,330270000.0,4.45,-7.90%,N/A,176550000.0,124340000.0,1.68,-26.00%,58670000.0,0.79,209000.0,0.04,1.06,6.90,159330000.0,69460000.0,N/A,N/A,May 3 - May 9 (Est.)
Raging River Exploration Inc.,RRX.TO,9.45,9.52,9.63,9.52,"1,653,600","1,255,030","1,214,990",N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.45,2.04%,-0.94%,10.08,6.50,9.40,8.68,225990000.0,178670000.0,N/A,N/A,5970000.0,5.39,N/A,2150000000.0,1970000000.0,38.66,39.62,12.35,7.87,3.13,8.01,10.69,Dec 31,"Sep 30, 2015",19.46%,28.97%,5.83%,8.80%,245990000.0,1.28,-27.40%,N/A,184300000.0,47870000.0,0.25,-65.40%,N/A,N/A,58370000.0,9.46,0.32,3.08,171300000.0,-104740000.0,N/A,N/A,May 4 - May 9 (Est.)
TransAlta Corp.,TA.TO,6.06,6.09,6.06,6.05,"745,389","1,258,510","650,738",0.16,2.64%,9.60%,7.69%,N/A,"Apr 1, 2016","Feb 26, 2016",1.23,-50.16%,-0.94%,12.50,3.60,5.95,5.55,287900000.0,266589999.99999997,N/A,N/A,6400000.0,4.69,2.02%,1750000000.0,6190000000.0,N/A,46.69,-3.15,0.77,0.71,2.73,7.88,Dec 31,"Dec 31, 2015",0.97%,7.98%,1.09%,2.81%,2270000000.0,8.10,-17.10%,N/A,785000000.0,-24000000.0,-0.09,N/A,54000000.0,0.19,4500000000.0,102.39,1.37,8.52,432000000.0,-19620000.0,N/A,N/A,N/A
